skiLift,1193,497,310,497
clock,531,545,244,410
plank,188,266,1258,321
lake,14,429,1906,421
conversation,146,1,1507,993
crowBall,1421,279,51,82
toytrain,954,544,966,312
coffeeOnSofa,849,306,552,688
birdFalling,976,139,211,181
trinkvogel2,1023,225,783,769
heron,851,195,229,531
yoga,562,132,834,491
selfie,307,118,254,876
work2,207,80,1113,911
sparkling2,344,107,810,887
robot2,33,0,1582,991
pedestrian,699,0,1221,989
ventilator,478,132,866,803
mokaPot,812,295,219,312
bed,4,562,1298,432
espresso,1383,341,68,102
dino,1366,412,384,192
teabagOut,1041,341,879,613
watercooler,188,251,550,743
toaster,589,198,665,448
openDoorInside,601,0,839,994
kettle,1648,594,38,145
chessBoard,692,505,682,231
giraffe,817,229,578,533
disinfectant,1459,96,461,891
bottleString,558,71,127,371
youtube,731,255,930,739
phone,1608,612,312,382
snip,1455,1,465,578
penDrawing,1099,919,116,74
trafficLight2,55,277,220,498
bikeUnlocking,932,164,807,830
monkey2,819,276,176,297
watering,516,512,556,480
sealion,1,783,1914,209
openDoorOutside,639,0,819,994
work,815,326,480,668
mail,503,89,562,905
fish,210,488,339,132
stapler,1560,247,360,417
waterHose,898,765,82,114
axolotl,1,468,781,234
whiteBoard,1417,5,325,226
laundry,693,201,700,628
catcafe,962,176,89,82
fly,1003,660,324,200
bigAnimalBackground,748,413,239,335
elevatorWrongSide,1563,313,156,612
waterbottle,1070,472,65,171
reindeers,301,413,1308,581
crow,1784,254,72,102
billboard,676,796,408,86
candle,1540,97,62,187
gondolaUp,1436,534,223,306
fingerTapping,10,640,403,354
lizard,891,774,135,109
shoebill,1069,517,218,417
chimpanzee,1128,150,135,191
receipt,776,722,854,158
statues,370,315,239,360
trash,1102,292,139,407
throw,412,296,1318,388
shoot,391,116,1514,654
blueBoiler,1254,87,480,743
bench,687,456,281,538
monitorLizard,49,517,665,143
trafficLight,1091,482,152,265
ballBalance,1281,236,375,758
construction,28,594,441,400
robot,1071,793,331,201
carStart,1092,263,588,551
rippingPaper,1439,0,481,802
toytrainHouses,1144,401,406,224
bird,856,767,119,188
elevatorEmpty,1,298,289,696
