clock,265,239,642,755
giraffe,787,161,622,601
axolotl2,938,494,337,295
toytrain2,261,510,570,297
elevatorEmpty,1,277,347,692
kiosk,1236,301,272,185
watering,720,410,408,461
sealion,1595,687,122,115
work,878,302,345,372
robot,866,269,421,537
heron,850,176,259,550
ventilator,1402,113,161,844
workingAlarm,955,472,349,340
sparkling,1510,20,409,528
change,337,76,907,527
booting,1063,324,635,445
waterglass,718,78,400,703
fish,177,407,433,244
crossroad,521,720,605,137
openDoorOutside,924,15,520,979
walkingUpStairs,779,234,249,760
monitorLizard,747,207,344,442
shoot,401,310,105,291
monkey2,835,261,183,305
paperball,218,183,322,685
plank,216,174,1302,444
monkey,735,206,329,476
phone,1590,587,329,407
candle,1300,33,420,399
lizard,826,724,235,210
mokaPot,797,249,265,378
elevatorInside,722,18,795,957
openDoorInside,1231,260,291,644
bigAnimalBackground,649,359,431,461
selfie,260,67,315,927
sealion2,1642,690,218,183
yoga,536,116,882,572
bed,9,408,715,453
catcafe,927,143,181,207
billboard2,1440,552,269,395
shoebill,987,461,360,530
mail,489,69,483,762
sparkling2,1592,102,327,737
statues,351,253,281,444
sheepBall,1351,26,438,939
trash,1107,237,148,500
lake,248,518,460,471
axolotl,373,401,470,424
kettle,1289,159,574,758
billboard,387,487,332,367
espresso,945,273,310,345
bench,586,340,399,654
conversation,1302,332,339,578
reindeers,582,397,346,597
bird,794,711,234,274
throw,1103,280,691,444
elevatorWrongSide,1520,324,265,670
beer,34,29,263,811
crowBall,1384,250,169,137
chessBoard,568,177,474,617
laundry,654,271,716,614
crow,1712,184,196,208
trafficLight,1048,461,328,325
toytrain,936,486,589,355
receipt,764,632,935,321
waterbottle,1009,444,245,268
trafficLight2,2,215,251,499
hippo,1622,786,182,133
toaster,646,173,541,158
clock2,1363,590,167,154
walkingDownStairs,826,76,239,573
work2,748,366,324,389
coffeeOnSofa,917,361,450,633
chimpanzee,1100,159,181,301
ballBalance,1225,246,445,714
waterHose,885,740,153,151
robot2,459,366,389,442
stapler,1486,250,252,354
pedestrian,755,341,371,644
fly,548,329,95,167
youtube,1115,303,529,270
dino,145,119,457,499
campingLight,345,706,324,128
whiteBoard,1387,0,336,281
rippingPaper,1,407,346,510
birdFalling,975,73,304,294
disinfectant,298,141,223,158
gondolaUp,1358,292,387,607
watercooler,180,758,578,234
blueBoiler,1239,565,550,326
bikeUnlocking,1224,454,234,191
construction,679,225,165,113
fingerTapping,2,606,503,388
trinkvogel2,1305,175,341,525
skiLift,1123,506,394,485
toytrainHouses,1149,363,200,264
teabagOut,1513,427,248,333
carStart,1679,388,106,143
snip,1183,44,552,449
bottleString,521,62,205,426
penDrawing,1068,876,168,118
