conversation,648,16,403,303
receipt,769,642,880,281
trafficLight2,1,271,288,504
kettle,1535,676,258,263
openDoorInside,639,22,826,964
mokaPot,803,276,287,327
selfie,306,89,281,148
waterHose,834,553,244,305
robot2,488,436,381,340
yoga,606,126,810,512
lake,273,542,404,421
rippingPaper,1238,320,437,266
monitorLizard,709,275,386,341
watering,671,512,461,440
disinfectant,216,159,328,332
mail,404,112,575,882
trash,1035,254,274,471
stapler,1482,167,398,552
construction,649,217,216,215
crow,1667,209,207,154
work,758,299,518,695
trinkvogel2,1370,219,434,746
elevatorWrongSide,1,176,397,717
phone,1593,548,326,446
reindeers,295,461,655,519
espresso,686,392,398,301
bench,591,412,412,582
pedestrian,743,299,392,653
candle,1282,99,437,294
bikeUnlocking,1014,152,539,787
giraffe,719,208,638,523
snip,1250,144,609,418
crowBall,589,541,238,230
trafficLight,1030,414,305,381
dino,109,182,503,395
skiLift,1010,561,579,433
bigAnimalBackground,635,366,492,486
sparkling2,324,74,463,912
coffeeOnSofa,759,299,671,695
throw,999,340,745,366
elevatorEmpty,1,275,339,719
youtube,1062,244,613,356
toaster,642,182,524,119
laundry,544,165,868,688
watercooler,953,156,948,380
fly,481,299,327,200
chessBoard,907,484,205,170
bottleString,442,75,454,418
robot,1063,826,376,168
ventilator,1570,31,349,946
fingerTapping,40,351,818,549
waterbottle,959,340,303,417
blueBoiler,1163,454,686,442
monkey2,684,267,439,264
bird,676,772,398,222
lizard,799,691,309,252
fish,168,420,444,245
ballBalance,1225,257,418,737
toytrain,886,531,637,363
shoebill,1004,542,346,412
penDrawing,1001,772,390,222
teabagOut,1100,300,803,628
chimpanzee,750,239,314,336
gondolaUp,1374,327,321,633
plank,653,306,809,290
toytrainHouses,1096,401,487,259
openDoorOutside,1142,307,353,357
carStart,990,335,701,458
work2,316,196,727,603
heron,824,167,305,601
billboard,731,597,670,309
sealion,1446,648,351,208
catcafe,855,145,338,233
axolotl,54,349,779,401
clock,296,481,536,456
birdFalling,772,106,479,250
shoot,995,91,924,669
statues,316,295,382,463
bed,106,336,790,460
whiteBoard,1298,6,500,242
